CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
619,0,0,42.0,2,0.0,1,1.0,1.0,101348.88
608,1,0,41.0,1,83807.86,1,0.0,1.0,112542.58
502,0,0,42.0,8,159660.8,3,1.0,0.0,113931.57
699,0,0,39.0,1,0.0,2,0.0,0.0,93826.63
645,1,1,44.0,8,113755.78,2,1.0,0.0,149756.71
376,2,0,29.0,4,115046.74,4,1.0,0.0,119346.88
528,0,1,31.0,6,102016.72,2,0.0,0.0,80181.12
497,1,1,24.0,3,0.0,2,1.0,0.0,76390.01
476,0,0,34.0,10,0.0,2,1.0,0.0,26260.98
549,0,0,25.0,5,0.0,2,0.0,0.0,190857.79
635,1,0,35.0,7,0.0,2,1.0,1.0,65951.65
616,2,1,45.0,3,143129.41,2,0.0,1.0,64327.26
653,2,1,58.0,1,132602.88,1,1.0,0.0,5097.67
549,1,0,24.0,9,0.0,2,1.0,1.0,14406.41
587,1,1,45.25,6,0.0,1,0.0,0.0,158684.81
726,0,0,24.0,6,0.0,2,1.0,1.0,54724.03
732,0,1,41.0,8,0.0,2,1.0,1.0,170886.17
636,1,0,32.34,8,0.0,2,1.0,0.0,138555.46
510,1,0,38.0,4,0.0,1,1.0,0.0,118913.53
669,0,1,46.0,3,0.0,2,0.0,1.0,8487.75
846,0,0,38.0,5,0.0,1,1.0,1.0,187616.16
577,0,1,25.0,3,0.0,2,0.0,1.0,124508.29
756,2,1,36.44,2,136815.64,1,1.0,1.0,170041.95
571,0,1,44.0,9,0.0,2,0.0,0.0,38433.35
574,2,0,43.0,3,141349.43,1,1.0,1.0,100187.43
411,0,1,29.0,0,59697.17,2,1.0,1.0,53483.21
591,1,0,39.0,3,0.0,3,1.0,0.0,140469.38
533,0,1,36.0,7,85311.7,1,0.0,1.0,156731.91
553,2,1,41.0,9,110112.54,2,0.0,0.0,81898.81
520,1,0,42.0,6,0.0,2,1.0,1.0,34410.55
